Timestamp,Do you feel a lack of community and togetherness between students at school and university? How does this make you feel?,Do you feel you would benefit from having a group of people to study with?,"Do you feel you would benefit from having a study group where you can post questions, find useful files/resources, and connect with peers?",What challenges do you face in finding productive study spots that suit your needs?,How often do you feel isolated during your academic life?,"In your opinion, does collaborative learning improve your academic performance and university experience?","What are some things you would look for when choosing a place to study?

If you have things that aren't listed, please click other as well and type them out!",Do you think there's a need for a platform which connects students to study groups or sessions in your area?,What resources do you think would be helpful in connecting you with academic support and student groups?,"Do you believe that having the ability to collaborate, build genuine connections, and share resources (such as files, notes, and slides) with classmates would enhance your experience and productivity as a student?",Please enter your email address to be added to the StudySpotr newsletter!,"If you have used the app, do you have any feedback?"
1/14/2025 10:26:00,"Yes, it feels like people just come to school for class and then leave. I find it harder to learn without a community supporting me.",Yes,Yes,Most of my study spots are full all the time :(,Sometimes,Yes,"Wifi, Power Outlets",Yes,,Yes,,
1/14/2025 10:32:23,"At SFU, it’s tough to connect in 50-minute classes. Everyone rushes out after lectures. For someone introverted, it feels even harder. You want to reach out, form study groups, find support—but it’s like the system isn’t built for that. It’s isolating. Group work could change everything, but where do you even start?",Yes,Yes,"Finding a quiet place with minimal distractions can be challenging, especially in busy or crowded environments.",Sometimes,Yes,"Food/Drink Places, Whiteboards, Power Outlets",Yes,"Maybe a platform with an interactive matchmaking tool to connect students based on shared courses and interests, a visually engaging calendar for academic events, and a collaborative space for sharing notes and resources would be helpful.
",Yes,,
1/14/2025 12:05:31,"Yes, it makes me feel disconnected and sad",Yes,Yes,good lighting and ambience,Always,Yes,"Wifi, Whiteboards, Power Outlets, Silent/Quite Spaces",Yes,Study Spotr,Yes,,
1/14/2025 12:52:34,Yes; I feel that a lack of community and togetherness in an academic environment results in poor collaboration,Yes,Yes,Too much crowding and hard to know if a study spot is available,Sometimes,Yes,"Wifi, Whiteboards, Power Outlets, Silent/Quite Spaces",Maybe,,Yes,,
1/14/2025 12:58:03,I feel that people would benefit from being more tight-knit as a community,Yes,Yes,"Not many, usually I am able to find a spot where I can sit and study in the nest here at ubc",Often,Depends,"Wifi, Food/Drink Places, Whiteboards, Power Outlets, Silent/Quite Spaces",Maybe,Maybe a platform which has the information I need to access about these things,Yes,,
1/14/2025 14:29:55,"Yes, there could be more clusters of student study group from the same faculty.",No,Yes,I don't really find challenges finding a study spot at school.,Sometimes,Depends,"Wifi, Whiteboards, Power Outlets",Yes,Whatsapp,Yes,,
1/14/2025 16:23:38,"It depends because some people prefer to work by themselves while others don’t. Me personally, I find it more productive working myself, but if it’s something like a group project, I do like working in groups in that case.",Yes,Yes,"- A quiet area
- distractions near me",Sometimes,Depends,"Wifi, Power Outlets, Silent/Quite Spaces",Maybe,I’m not exactly sure. ,Yes,,
1/14/2025 17:20:55,Yes,Yes,Yes,A location where we can work without being disturbed ,Sometimes,Yes,"Wifi, Whiteboards, Power Outlets, Silent/Quite Spaces",Yes,,Yes,,
1/14/2025 18:32:52,"Yes. It makes me feel as if I'm taking courses online, at my own pace instead of in a classroom.",Yes,Yes,None. I usually study at home.,Always,Yes,"Wifi, Power Outlets, Silent/Quite Spaces",Yes,Maybe a student-only group chat for each class.,Yes,,
1/14/2025 20:07:12,"Sometimes, yes! Studying with buddies boosts energy to get work done.",Yes,Yes,Most at SFU are already cramped.,Sometimes,Depends,"Wifi, Food/Drink Places, Power Outlets, Silent/Quite Spaces",Maybe,,Yes,,
1/14/2025 21:28:39,"There is a sense of togetherness with people I have group projects with but outside of that it feels pretty separated. Its nice when you are grouped together and meet people that way, however it's hard to form a community.",Yes,Yes,"Spots are usually too loud or too busy, or they don't have space for group studying. ",Sometimes,Yes,"Wifi, Whiteboards, Power Outlets, Silent/Quite Spaces",Yes,A platform where I am grouped with people who are studying my subjects or are taking my classes so we can form a study group.,Yes,,
1/15/2025 0:54:34,"Nah, I love my community! I got  lots of friends I can run into",Yes,Yes,"Everything is taken, or I dont know the campus well enough, or dont like the vibe of the area",Rarely,Yes,"Wifi, Food/Drink Places, Power Outlets, My friends, clean accommodations, bias (if ive been there before, more likely to go again)",Maybe,Discord? Whatever social media channels people are using ,Yes,,
1/15/2025 12:23:27,"Not in Sauder, the community there is pretty strong ",Yes,Yes,Not enough individual rooms to book,Often,Yes,"Wifi, Power Outlets, Silent/Quite Spaces",Yes,,Yes,,
1/15/2025 13:04:52,"yes, as a generation who lost 2 years of school to covid and online learning, i find that students may still be struggling to reconnect and integrate into their school environments",Yes,Yes,the lack of prof availability outside of school hours to ask for help,Sometimes,Sometimes,"Wifi, Food/Drink Places, Whiteboards, Power Outlets",Yes,"gathering TA’s, tutors, and useful past course work",Yes,,
1/15/2025 14:57:23,"I did uni through covid, this combined with having an unusual major and living off campus made it hard to maintain connections with people and that definitely hurt my mental health.",No,Maybe,None,Often,Depends,"Wifi, Power Outlets, Silent/Quite Spaces",Maybe,Not sure,Yes,,
